video_path,caption
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/QNa4eMNKYwk_2.mp4,A woman with a patch on her eye next to a park bench.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/J4FJGUugMHM_0.mp4,A group of children and adults are playing with lego toys at an exhibition.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/jPu8eStQrnE_2.mp4,A potted plant is growing in a glass container.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/tV0zvdiJoYI_1.mp4,There is a piece of food on a piece of paper that appears to be covered in a brown sauce.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/2PnHZAbgoBo_2.mp4,A man and a woman are sitting on a beach and talking to each other.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/xDfNNsEsU_U_2.mp4,The person is drawing a woman in a superhero costume with long hair and holding a sword.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/eQeP3kVZ5qE_1.mp4,A vehicle is driving down a runway in a video game.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/G2DgONb7K1k_2.mp4,A family is lying on the bed and playing with each other.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/GQivnGYmuoc_0.mp4,A man is standing next to his red lawn mower in a garage.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/2MiQsNpCT00_1.mp4,Four girls posing in front of a heart painted on the sidewalk.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/ivkx53BpSM4_1.mp4,A red car driving down a highway in a video game.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/P2SaqmDPbCg_2.mp4,A group of soccer players are practicing on the field.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/udqFhX2asss_1.mp4,"There is a man and a woman standing in front of a kitchen counter, looking at something on the counter."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/hnmg6hAntAo_2.mp4,A dog and a cat standing next to a door.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/RXvHOe_Apws_1.mp4,A father is helping his son put on a ghost gym bag.
